metric,pool_avg,pool_n,Premier League_avg,La Liga_avg,Serie A_avg,Bundesliga_avg,Ligue 1_avg,Premier League_n,La Liga_n,Serie A_n,Bundesliga_n,Ligue 1_n,martim_neto
xp_box_share,0.0514,470,0.0554,0.0431,0.0483,0.0638,0.0498,90,101,105,77,97,0.08648875522562907
xp_builder_index,0.0,470,0.0286,-0.0001,0.0638,0.1009,-0.1756,90,101,105,77,97,0.27536382408638194
xp_consistency_display,6.0102,314,5.7893,6.1699,5.9244,6.2839,5.8916,67,72,64,56,55,7.0
xp_consistency_index,88.6083,314,88.4478,87.3889,86.0156,93.9286,88.0,67,72,64,56,55,69.0
xp_creator_index,-0.0,470,0.0656,-0.0996,-0.0666,0.0226,0.097,90,101,105,77,97,0.7523874706240262
xp_cross_total,3.048,470,4.3431,3.0613,2.7766,3.3017,1.925,90,101,105,77,97,6.389269643969347
xp_diagonal_long_total,2.4981,470,2.6517,2.4768,2.5241,2.6183,2.2541,90,101,105,77,97,0.0
xp_dist_index_long,0.0,328,-0.0199,-0.0873,-0.013,0.0702,0.1021,69,81,69,56,53,-0.3247995886965079
xp_dist_index_long_eligible,0.6979,470,0.7667,0.802,0.6571,0.7273,0.5464,90,101,105,77,97,True
xp_dist_index_long_min_passes,41.3434,470,42.3533,40.5792,41.8448,39.7026,41.9619,90,101,105,77,97,29.299999999999997
xp_dist_index_mean,-0.023,357,-0.0604,-0.0833,0.0258,0.093,-0.0674,75,84,77,59,62,-0.11746231943103912
xp_dist_index_short,0.0,329,-0.0442,-0.047,0.1378,0.1133,-0.1502,70,77,67,56,59,0.08987494983442965
